id,song_name,level,level_index,score,rating,over_power,clear,full_combo,full_chain,rank,upload_time,play_time
551,Sparking Revolver,14+,3,960902,13.85412,69.2706,failed,,,aaa,2024-06-14 07:49:44,2024-06-03 06:29:00
385,Evans,14,3,999327,15.37308,76.8654,failed,,,sp,2024-06-14 07:49:44,2024-06-03 06:10:00
932,ARROW RAIN feat. Ayame,13+,3,998622,14.64488,73.2244,failed,,,sp,2024-06-14 07:49:44,2024-06-03 05:59:00
619,End Time,15,3,985175,15.507,77.535,failed,,,s,2024-06-14 07:49:44,2024-06-03 03:52:00
1033,《本能》 ～ ReCoda,14+,3,1000681,15.6681,78.3405,failed,,,ss,2024-06-14 07:49:44,2024-05-17 07:38:00
506,G e n g a o z o,14+,3,985403,15.11612,75.5806,failed,,,s,2024-06-14 07:49:44,2024-05-17 07:29:00
1017,ANU,15,3,982421,15.59684,77.9842,failed,,,s,2024-06-14 07:49:44,2024-05-04 06:25:00
2161,POTENTIAL,15,3,991363,15.95452,79.7726,failed,,,sp,2024-06-14 07:49:44,2024-05-02 06:45:00
232,Elemental Creation,14+,3,1002532,15.7532,78.766,failed,,,ss,2024-06-14 07:49:44,2024-04-30 13:42:00
2171,Titania,15,3,1001610,16.161,80.805,failed,,,ss,2024-06-14 07:49:44,2024-04-30 13:31:00
226,Garakuta Doll Play,15,3,975388,15.01552,75.0776,failed,,,s,2024-06-14 07:49:44,2024-04-30 12:55:00
1032,《選別》 ～ Refuge,14,3,1006276,15.8552,79.276,clear,,,ssp,2024-06-14 07:49:46,
999,AttraqtiA,14+,3,999853,15.89412,79.4706,clear,,,sp,2024-06-14 07:49:46,
137,Angel dust,15,3,997641,15.90564,79.5282,clear,,,sp,2024-06-14 07:49:46,
1044,BUCHiGiRE Berserker,14+,3,999231,15.76924,78.8462,clear,,,sp,2024-06-14 07:49:46,
2047,花たちに希望を,14,3,1003346,15.6346,78.173,clear,,,ss,2024-06-14 07:49:46,
2034,A Site De La Rue,15,3,992575,15.803,79.015,clear,,,sp,2024-06-14 07:49:46,
1066,Blazing:Storm,15,3,990531,15.62124,78.1062,clear,,,sp,2024-06-14 07:49:46,
1059,"Good bye, Merry-Go-Round.",14+,3,999279,15.57116,77.8558,clear,,,sp,2024-06-14 07:49:46,
